shot_id,timestamp,score_marker,sample_index,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1779008838474,2026-05-17 11:07:18.474,S0-0_G2-1,26,33.216904,-5.093985,13.1392,-2.2758737,4.637504,-5.557255
1779008838474,2026-05-17 11:07:18.474,S0-0_G2-1,27,36.533443,-8.893214,9.378299,-1.6916915,6.2833877,-5.8093305
1779008838474,2026-05-17 11:07:18.474,S0-0_G2-1,28,36.304676,-11.075495,9.258525,-1.7994196,7.5064816,-5.984439
1779008838474,2026-05-17 11:07:18.474,S0-0_G2-1,29,36.04237,-11.4467945,1.2492421,1.2991296,6.031711,-4.0465302
1779008838474,2026-05-17 11:07:18.474,S0-0_G2-1,30,31.900587,-18.714676,-12.481641,0.586446,4.8160744,-4.373044
1779008838474,2026-05-17 11:07:18.474,S0-0_G2-1,31,32.21679,-11.045551,-13.868623,-3.7350643,6.336253,-1.9437674
1779008838474,2026-05-17 11:07:18.474,S0-0_G2-1,32,16.231762,-8.780626,-13.069731,-5.1840014,6.152489,-0.010120321
1779008838474,2026-05-17 11:07:18.474,S0-0_G2-1,33,10.035857,-10.864693,-7.511023,-5.951947,6.2445045,1.6699861
1779008838474,2026-05-17 11:07:18.474,S0-0_G2-1,34,2.370326,-11.955833,-6.739679,-4.3349595,4.976934,2.405707
1779008838474,2026-05-17 11:07:18.474,S0-0_G2-1,35,-3.1153197,-8.718344,-3.1296928,-2.917715,3.2801824,2.368821
1779008838474,2026-05-17 11:07:18.474,S0-0_G2-1,36,0.555751,-5.926414,-0.0035932178,-1.4858229,3.3780565,1.9961002
1779008838474,2026-05-17 11:07:18.474,S0-0_G2-1,37,-1.0276603,-5.049669,-3.4997942,0.41253623,2.2666855,1.2948685
1779008838474,2026-05-17 11:07:18.474,S0-0_G2-1,38,-2.394281,-3.3740315,-4.36576,1.5771722,1.3591857,0.78099585
1779008838474,2026-05-17 11:07:18.474,S0-0_G2-1,39,-2.4649475,-3.0841787,-3.9393644,2.5114374,1.2623769,0.4094735
1779008838474,2026-05-17 11:07:18.474,S0-0_G2-1,40,-6.255792,-2.360744,-5.7766967,3.0905595,0.36553,0.15233746
1779008838474,2026-05-17 11:07:18.474,S0-0_G2-1,41,-7.6727176,-2.9548228,-4.705918,3.1322393,-0.22890568,-0.03914966
